298
Gl 283  A,-3.60999,7.71712,-2.67082,0.24,0.700005007
NN 3820,-7.28826,-4.17418,-3.02931,0.4,0.700005007
Gl 300,-2.99351,4.57994,-2.15987,1.6,0.700004978
Gl 860  B,1.97147,-0.83599,3.38762,1.8,0.700004827
Gl  15  B,2.55778,0.20298,2.47932,1.79,0.700004772
Gl 791.2,5.24752,-6.85346,1.47341,1.65,0.700004597
NN 3839,-6.11284,-4.16568,4.57105,0.4,0.700004328
Gl 896  B,5.82892,-0.7198,2.13042,1.65,0.700004257
Gl 754,1.37619,-3.74285,-4.06085,1.68,0.700004131
NN 3737,-5.56054,-0.95209,-4.46441,1.69,0.700004126
Gl 232,-0.82102,7.6013,3.31518,1.76,0.700004123
GJ 1256,6.11247,-7.25286,2.62845,1.72,0.70000409
NN 3421,-1.52746,5.33766,7.29314,1.84,0.700003998
Gl 447,-3.33289,0.17854,0.04704,1.746,0.700003949
GJ 2097,-5.7373,-1.72786,2.27799,1.62,0.700003794
GJ 1123,-1.29761,1.12014,-7.9473,1.64,0.70000378
Gl 563.2B,-2.81936,-2.5735,-1.87057,1.48,0.700003684
Gl 915,5.68997,0.05287,-5.33537,0.07,0.700003643
NN 3988,-1.45009,-5.75077,7.42861,1.75,0.700003381
GJ 1151,-5.44788,0.21148,6.13863,1.84,0.700003355
Gl 299,-3.6336,5.60097,1.03907,1.77,0.700003346
Gl 169.1B,1.07459,2.62794,4.72674,0.31,0.70000319
GJ 1103 A,-4.1219,7.76062,0.0011,1.68,0.700003051
NN 3253,4.84945,7.81088,2.81577,0.4,0.700003039
Gl 563.2A,-2.99024,-2.72914,-1.98428,1.524,0.700002998
GJ 1128,-1.84759,1.25922,-5.79478,1.73,0.700002958
GJ 1227,0.37949,-3.84336,7.28343,1.76,0.700002917
Gl 493.1,-7.82153,-2.11828,0.80627,1.75,0.700002872
NN 3306,3.30068,8.80443,-1.45527,0.33,0.700002788
Gl  51,4.02419,1.13948,7.98849,1.68,0.700002771
NN 4274,6.48215,-2.91676,-2.2545,1.84,0.700002764
Gl  83.1,3.76783,2.17869,1.01103,1.8,0.700002422
NN 3667,-8.25481,1.11187,2.7511,0.4,0.700002323
NN 3976,-2.74253,-8.82619,3.81795,1.75,0.700002311
GJ 1154 A,-8.4432,-0.52848,0.09233,1.77,0.700002283
Van Maanen's Star,4.28623,0.93362,0.41429,0.554,0.700002166
GJ 1057,5.61111,6.30203,0.70472,1.82,0.700002143
NN 4053,0.24209,-2.92941,6.66383,1.83,0.700002128
GJ 1253,2.88425,-3.89544,7.92963,1.79,0.700002068
NN 3417,-0.90002,3.48539,6.86545,0.4,0.700002061
GJ 1224,0.23956,-7.24132,-2.07221,1.79,0.700001983
Gl  54.1,3.378,1.1057,-1.08671,1.85,0.700001974
NN 3454,-2.50147,5.59169,0.76129,0.4,0.700001941
GJ 1028,9.12603,2.65184,-3.11177,1.87,0.700001622
Gl 618  B,-2.83603,-6.0896,-5.1629,1.79,0.700001548
GJ 2012,9.02601,1.65043,-3.77175,0.62,0.700001495
GJ 1087,0.12331,7.95746,0.74914,0.6,0.700001441
NN 3119,8.79875,4.63108,-1.06534,0.4,0.700001423
NN 3380,-0.06473,5.97791,7.09314,1.87,0.70000138
GJ 1230 B,1.19137,-6.56844,3.08252,0.4,0.700001336
NN 3076,7.77528,2.50448,2.25631,0.4,0.700001272
NN 4360,8.63568,-0.54513,-2.508,0.4,0.700001264
GJ 1156,-6.39515,-0.53358,1.26163,1.88,0.700001257
Gl 905,2.2646,-0.17924,2.2089,1.9,0.700001196
NN 3959,-2.85404,-7.00395,6.54209,1.72,0.700001191
GJ 2034,2.24847,4.87789,-6.10317,0.52,0.700001169
GJ 1061,1.79973,2.4758,-3.00853,1.9,0.700001108
Gl 473  A,-4.20835,-0.61742,0.675,1.83,0.700001105
Gl 293,-1.23785,2.30274,-6.39725,0.66,0.700001092
Gl 866  A,3.07152,-1.14194,-0.89853,1.98,0.700000974
GJ 1245 A,1.60578,-2.96152,3.30163,1.9,0.70000094
NN 3512,-3.27761,3.85854,8.60058,1.93,0.700000929
Gl 518,-7.44942,-3.34582,0.52734,0.95,0.700000902
Gl 432  B,-7.96419,0.88836,-5.17324,0.4,0.700000887
Gl 473  B,-4.20835,-0.61742,0.675,0.4,0.700000865
GJ 1221,-0.10259,-2.01138,5.80294,0.4,0.700000803
GJ 1103 B,-4.12247,7.76032,0.00135,0.4,0.70000075
GJ 1093,-1.8766,7.07451,2.57204,1.93,0.700000682
GJ 1002,4.65686,0.13769,-0.61445,1.98,0.700000676
GJ 1286,7.1664,-0.78061,-0.29944,1.96,0.70000067
Gl 223.2,0.13689,6.44165,-0.46611,1.05,0.70000067
Proxima Centauri,-0.47175,-0.36132,-1.15037,1.807,0.700000639
GJ 1116 A,-3.45272,3.50426,1.7676,1.84,0.700000627
Gl  65  A,2.27003,1.04443,-0.80985,1.85,0.700000625
Gl  65  B,2.27003,1.04443,-0.80985,0.4,0.700000552
GJ 1245 B,1.60599,-2.9614,3.30163,1.98,0.700000531
NN 3618,-2.04515,0.69857,-3.93375,1.82,0.700000522
NN 3128,7.56276,4.4671,1.60278,2.02,0.700000432
Gl 412  B,-3.40739,0.82029,3.32686,2.09,0.700000384
GJ 2005,6.66114,0.72083,-3.43688,0.4,0.700000363
GJ 1276,7.66363,-2.27911,-0.94948,1.9,0.700000334
NN 3146,6.80732,4.6128,1.98944,1.98,0.700000324
GJ 1116 B,-3.45269,3.50422,1.76774,1.93,0.700000272
Gl 406,-2.28262,0.64697,0.29354,2,0.700000216
Gl 283  B,-3.60999,7.71712,-2.67082,1.83,0.700000193
GJ 1111,-1.96925,2.56874,1.63405,2.06,0.700000134
NN 3622,-4.22081,1.36786,-0.88783,2.1,0.700000096
NN 3855,-3.86337,-2.98444,8.35944,0.4,0.700000044
Gl 644  C,-1.57386,-5.45573,-0.83682,1.99,0.700000042
NN 3877,-3.92823,-3.8156,-2.93068,1.34,0.700000036
Gl 752  B,1.92853,-5.52244,0.52897,2.2,0.700000012
NN 3517,-5.87252,6.20837,-0.52079,0.4,0.7
